Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-04-16,5.35,5.35,5.35,5.35,5.35,104.0,0.01
2013-04-17,5.6,5.6,5.6,5.6,5.6,58.0,0.0
2013-04-18,5.85,5.85,5.85,5.85,5.85,437.0,0.03
2013-04-22,6.1,6.1,6.1,6.1,6.1,264.0,0.02
2013-04-23,6.4,6.4,6.4,6.4,6.4,1438.0,0.09
2013-04-25,6.7,6.7,6.7,6.7,6.7,50.0,0.0
2013-04-26,7.0,7.0,7.0,7.0,7.0,38.0,0.0
2013-04-29,7.35,7.35,7.35,7.35,7.35,11.0,0.0
2013-04-30,7.7,7.7,7.7,7.7,7.7,75.0,0.01
2013-05-02,8.45,8.45,8.45,8.45,8.45,133.0,0.01
2013-05-03,9.25,9.25,9.25,9.25,9.25,85.0,0.01
2013-05-06,10.15,10.15,10.15,10.15,10.15,6522.0,0.66
2013-05-07,10.65,10.65,10.65,10.65,10.65,70.0,0.01
2013-05-08,11.15,11.15,10.5,10.95,10.65,40563.0,4.5
2013-05-09,10.25,10.9,10.15,10.2,10.35,6398.0,0.66
2013-05-10,10.85,10.85,9.95,10.45,10.35,8475.0,0.87
2013-05-11,9.9,9.9,9.85,9.85,9.85,92.0,0.01
2013-05-13,9.5,10.25,9.4,9.4,9.4,1719.0,0.16
2013-05-14,9.1,9.1,8.95,8.95,8.95,920.0,0.08
2013-05-15,8.55,9.35,8.55,9.35,9.35,293.0,0.03
2013-05-16,9.0,9.75,9.0,9.6,9.55,1743.0,0.16
2013-05-17,9.55,9.55,9.25,9.25,9.55,4236.0,0.4
2013-05-20,9.25,10.0,9.25,9.5,9.75,33370.0,3.32
2013-05-21,9.3,9.95,9.3,9.6,9.6,3281.0,0.31
2013-05-22,10.0,10.0,9.5,10.0,10.0,1243.0,0.12
2013-05-23,10.0,10.0,9.6,9.6,9.6,2873.0,0.28
2013-05-24,9.2,10.0,9.2,10.0,10.0,4843.0,0.48
2013-05-27,10.0,10.0,10.0,10.0,10.0,500.0,0.05
2013-05-28,10.0,10.0,9.5,9.5,9.5,1361.0,0.13
2013-05-29,9.1,9.95,9.05,9.95,9.95,6280.0,0.6
2013-05-30,9.5,9.95,9.5,9.95,9.9,975.0,0.09
2013-05-31,9.45,9.5,9.45,9.45,9.45,1401.0,0.13
2013-06-03,9.45,9.9,9.0,9.9,9.85,234.0,0.02
2013-06-04,9.4,9.95,9.4,9.95,9.95,1277.0,0.12
2013-06-05,9.5,10.0,9.5,9.55,9.9,3450.0,0.34
2013-06-06,9.5,9.9,9.5,9.9,9.9,1910.0,0.18
2013-06-07,9.45,9.95,9.45,9.45,9.45,1150.0,0.11
2013-06-10,9.45,9.9,9.45,9.9,9.9,1825.0,0.17
2013-06-11,9.45,9.45,9.45,9.45,9.45,100.0,0.01
2013-06-12,9.3,9.5,9.0,9.5,9.5,27175.0,2.58
2013-06-13,9.05,9.05,9.05,9.05,9.05,74.0,0.01
2013-06-14,9.0,9.4,8.6,9.4,9.4,4829.0,0.42
2013-06-17,9.5,9.5,9.5,9.5,9.5,2920.0,0.28
2013-06-18,9.4,9.4,9.4,9.4,9.4,50.0,0.0
